year,month,geog,fips,statecd,theme_id,indic_id,Num_Foreclose_Condo,Num_Foreclose_SFH,Num_Foreclose_Comm,Num_Foreclose_Land,Num_Foreclose_Tot,Num_SNAP_Partic
2006,1,Virginia,,51,2,206,,,,,,508113
2006,2,Virginia,,51,2,206,,,,,,506139
2006,3,Virginia,,51,2,206,,,,,,506512
2006,4,Virginia,,51,2,206,,,,,,502594
2006,5,Virginia,,51,2,206,,,,,,504421
2006,6,Virginia,,51,2,206,,,,,,506733
2006,7,Virginia,,51,2,206,,,,,,504789
2006,8,Virginia,,51,2,206,,,,,,509161
2006,9,Virginia,,51,2,206,,,,,,507703
2006,10,Virginia,,51,2,206,,,,,,511818
2006,11,Virginia,,51,2,206,,,,,,515005
2006,12,Virginia,,51,2,206,,,,,,513883
2010,1,Virginia,,51,2,206,,,,,,771357
2010,2,Virginia,,51,2,206,,,,,,774978
2010,3,Virginia,,51,2,206,,,,,,784523
2010,4,Virginia,,51,2,206,,,,,,790363
2010,5,Virginia,,51,2,206,,,,,,794734
2010,6,Virginia,,51,2,206,,,,,,802376
2010,7,Virginia,,51,2,206,,,,,,811169
2010,8,Virginia,,51,2,206,,,,,,820549
2010,9,Virginia,,51,2,206,,,,,,826277
2010,10,Virginia,,51,2,206,,,,,,829940
2010,11,Virginia,,51,2,206,,,,,,837005
2010,12,Virginia,,51,2,206,,,,,,839472
2006,1,Alexandria,51510,51,2,206,,,,,0,5031
2006,2,Alexandria,51510,51,2,206,,,,,0,4995
2006,3,Alexandria,51510,51,2,206,,,,,0,5030
2006,4,Alexandria,51510,51,2,206,,,,,0,5030
2006,5,Alexandria,51510,51,2,206,2,,,,2,5063
2006,6,Alexandria,51510,51,2,206,2,,,,2,5047
2006,7,Alexandria,51510,51,2,206,3,,,,3,5081
2006,8,Alexandria,51510,51,2,206,,,,,0,5140
2006,9,Alexandria,51510,51,2,206,1,1,,,2,5074
2006,10,Alexandria,51510,51,2,206,3,,,,3,5104
2006,11,Alexandria,51510,51,2,206,2,,,1,3,5131
2006,12,Alexandria,51510,51,2,206,8,,,,8,5079
2007,1,Alexandria,51510,51,2,205,3,2,,1,6,
2007,2,Alexandria,51510,51,2,205,4,2,,,6,
2007,3,Alexandria,51510,51,2,205,0,0,,,0,
2007,4,Alexandria,51510,51,2,205,6,4,,,10,
2007,5,Alexandria,51510,51,2,205,7,3,,,10,
2007,6,Alexandria,51510,51,2,205,6,3,,,9,
2007,7,Alexandria,51510,51,2,205,14,12,,,26,
2007,8,Alexandria,51510,51,2,205,3,3,,,6,
2007,9,Alexandria,51510,51,2,205,11,3,,,14,
2007,10,Alexandria,51510,51,2,205,14,6,,,20,
2007,11,Alexandria,51510,51,2,205,8,4,,,12,
2007,12,Alexandria,51510,51,2,205,7,14,,,21,
2008,1,Alexandria,51510,51,2,205,8,2,,,10,
2008,2,Alexandria,51510,51,2,205,18,8,,,26,
2008,3,Alexandria,51510,51,2,205,12,7,1,,20,
2008,4,Alexandria,51510,51,2,205,16,6,,,22,
2008,5,Alexandria,51510,51,2,205,24,12,,,36,
2008,6,Alexandria,51510,51,2,205,18,13,,,31,
2008,7,Alexandria,51510,51,2,205,23,14,,,37,
2008,8,Alexandria,51510,51,2,205,28,17,,,45,
2008,9,Alexandria,51510,51,2,205,32,12,,,44,
2008,10,Alexandria,51510,51,2,205,20,14,,,34,
2008,11,Alexandria,51510,51,2,205,14,5,,,19,
2008,12,Alexandria,51510,51,2,205,28,13,,,41,
2009,1,Alexandria,51510,51,2,205,12,10,,,22,
2009,2,Alexandria,51510,51,2,205,19,6,,,25,
2009,3,Alexandria,51510,51,2,205,11,6,1,,18,
2009,4,Alexandria,51510,51,2,205,10,11,,,21,
2009,5,Alexandria,51510,51,2,205,13,5,2,,20,
2009,6,Alexandria,51510,51,2,205,15,12,,,27,
2009,7,Alexandria,51510,51,2,205,13,9,,,22,
2009,8,Alexandria,51510,51,2,205,29,8,1,,38,
2009,9,Alexandria,51510,51,2,205,18,5,,,23,
2009,10,Alexandria,51510,51,2,205,17,6,,,23,
2009,11,Alexandria,51510,51,2,205,10,11,1,,22,
2009,12,Alexandria,51510,51,2,205,21,6,1,,28,
2010,1,Alexandria,51510,51,2,206,16,7,,,23,7669
2010,2,Alexandria,51510,51,2,206,12,5,,,17,7614
2010,3,Alexandria,51510,51,2,206,33,5,1,,39,7763
2010,4,Alexandria,51510,51,2,206,22,8,,,30,7811
2010,5,Alexandria,51510,51,2,206,17,8,,,25,7873
2010,6,Alexandria,51510,51,2,206,20,5,,,25,7961
2010,7,Alexandria,51510,51,2,206,15,1,1,,17,8030
2010,8,Alexandria,51510,51,2,206,21,7,1,1,30,8021
2010,9,Alexandria,51510,51,2,206,31,8,2,2,43,8177
2010,10,Alexandria,51510,51,2,206,22,5,,,27,8189
2010,11,Alexandria,51510,51,2,206,14,7,1,,22,8214
2010,12,Alexandria,51510,51,2,206,8,2,,,10,8211
2011,1,Alexandria,51510,51,2,205,6,2,,,8,
2011,2,Alexandria,51510,51,2,205,9,3,,,12,
2011,3,Alexandria,51510,51,2,205,10,4,,,14,
2011,4,Alexandria,51510,51,2,205,6,1,,,7,
2011,5,Alexandria,51510,51,2,205,13,2,1,,16,
2011,6,Alexandria,51510,51,2,205,13,9,,,22,
2011,7,Alexandria,51510,51,2,205,10,6,,,16,
2011,8,Alexandria,51510,51,2,205,20,5,,,25,
2011,9,Alexandria,51510,51,2,205,15,3,,,18,
2011,10,Alexandria,51510,51,2,205,12,4,0,,16,
2011,11,Alexandria,51510,51,2,205,13,1,0,,14,
2011,12,Alexandria,51510,51,2,205,9,2,0,,11,
